run_id,bloque,condicion,repeticion,scene,waypoints,checkpoint,mobility_mode,percepcion_online,adjustments_file,spawn_profile,reutilizacion,status,valid,termination,last_wp,results_dir,notes
RL_9400_02,evolucion_rl,checkpoint_9400,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/2026-04-28_18-56-13/model_9400.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_9400/RL_9400_02,
RL_9400_03,evolucion_rl,checkpoint_9400,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/2026-04-28_18-56-13/model_9400.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_9400/RL_9400_03,
RL_9400_04,evolucion_rl,checkpoint_9400,4,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/2026-04-28_18-56-13/model_9400.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_9400/RL_9400_04,
RL_9400_05,evolucion_rl,checkpoint_9400,5,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/2026-04-28_18-56-13/model_9400.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_9400/RL_9400_05,
RL_49700_01,evolucion_rl,checkpoint_49700,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_49700/RL_49700_01,
RL_49700_02,evolucion_rl,checkpoint_49700,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_49700/RL_49700_02,
RL_49700_03,evolucion_rl,checkpoint_49700,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_49700/RL_49700_03,
RL_49700_04,evolucion_rl,checkpoint_49700,4,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_49700/RL_49700_04,
RL_49700_05,evolucion_rl,checkpoint_49700,5,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_49700/RL_49700_05,
SIMREAL_01,simreal,equivalente_real,1,/home/robcib/Desktop/MARIAM/scenarios/nave_simreal.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_equivalente_real.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,simreal,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/simreal/SIMREAL_01,
SIMREAL_02,simreal,equivalente_real,2,/home/robcib/Desktop/MARIAM/scenarios/nave_simreal.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_equivalente_real.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,simreal,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/simreal/SIMREAL_02,
SIMREAL_03,simreal,equivalente_real,3,/home/robcib/Desktop/MARIAM/scenarios/nave_simreal.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_equivalente_real.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,simreal,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/simreal/SIMREAL_03,
SIMREAL_04,simreal,equivalente_real,4,/home/robcib/Desktop/MARIAM/scenarios/nave_simreal.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_equivalente_real.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,simreal,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/simreal/SIMREAL_04,
SIMREAL_05,simreal,equivalente_real,5,/home/robcib/Desktop/MARIAM/scenarios/nave_simreal.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_equivalente_real.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,simreal,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/simreal/SIMREAL_05,
